Order ID,Order Date,Buyer,Base Currency,Shipping,Order Total,Tax,Base Grand Total,Total Lots,Total Items,Order Status,Location,Condition,Item Description,Qty,Each,Total,Item Type,Item Number,Inv ID
,,,,,,,,,,,,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,1.0,8.99,8.99,Part,48431pb01,362705061.0
,,,,,,,,,,,,,,,,,,11,
22979921.0,2023-08-30,Taylor68,USD,4.99,5.75,0.59,11.33,1.0,5.0,Completed,"USA, Wisconsin",,,,,,,11,
,,,,,,,,,,,,Used,"Dark Bluish Gray Brick, Modified 12 x 12 with 3 Pin Holes on each Side and Axle Holes in Corners",5.0,1.15,5.75,Part,52040,363929387.0
22954388.0,2023-08-27,jklotz08,USD,4.99,1.20,0.31,6.50,1.0,30.0,Completed,"USA, Wisconsin",,,,,,,11,
,,,,,,,,,,,,Used,Green Plant Flower Stem with Stud and 3 Stems,30.0,0.04,1.20,Part,3741,364236469.0
22928618.0,2023-08-24,u999333,USD,4.99,18.17,1.39,24.55,6.0,28.0,Completed,"USA, Vermont",,,,,,,11,
,,,,,,,,,,,,Used,Imperial Death Trooper ,1.0,9.99,9.99,Minifigure,sw0807,364242025.0
,,,,,,,,,,,,Used,"Black Minifigure, Utensil Camera with Side Sight &#40;Space Gun&#41;",7.0,0.06,0.42,Part,4360,364994157.0
,,,,,,,,,,,,Used,"Dark Bluish Gray Minifigure, Utensil Binoculars Space ",7.0,0.03,0.21,Part,30304,364991215.0
,,,,,,,,,,,,Used,"Red Minifigure, Utensil Dynamite Sticks Bundle ",10.0,0.03,0.30,Part,64728,364365662.0
,,,,,,,,,,,,Used,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",1.0,2.25,2.25,Part,50995pb01,363531063.0
,,,,,,,,,,,,New,"White Minifigure, Headgear Helmet SW Clone Trooper Ep.3 Pattern",2.0,2.50,5.00,Part,50995pb01,364231550.0
22928291.0,2023-08-24,Quebery213,USD,6.50,7.40,1.03,15.68,1.0,37.0,Completed,"USA, New York",,,,,,,11,
,,,,,,,,,,,,Used,"Black Minifigure, Weapon Gun, Blaster Short &#40;SW&#41;",37.0,0.20,7.40,Part,58247,364245881.0
22847940.0,2023-08-14,DadNandoBricks,USD,4.99,54.98,3.99,63.96,2.0,2.0,Completed,"USA, Utah",,,,,,,11,
,,,,,,,,,,,,Used,"Pearl Sand Blue Arm Mechanical, Super Battle Droid Both clips are still intact and hold well",1.0,24.99,24.99,Part,41890,363187998.0
,,,,,,,,,,,,Used,"Pearl Sand Blue Legs Mechanical, Super Battle Droid Both clips still intact and hold well",1.0,29.99,29.99,Part,42687,363187942.0
22846850.0,2023-08-13,LaughingQuoll,USD,4.99,8.99,0.98,14.96,1.0,1.0,Completed,"USA, North Carolina",,,,,,,11,
,,,,,,,,,,,,Used,Orange Minifigure Armor Pauldron Cloth with Black Neck Pattern slight fade,1.0,8.99,8.99,Part,48431pb01,362705061.0
